Part,Name,SupplyKind,TapeKind,TapeWidth,TapePitch,PartCount,Polarity,L,W,T,Number,PartName,Volume,LWTNumber,PartNum
EBC,64839846,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839846,0.175,46,36
EBC,64839853,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839853,0.175,46,36
EBC,64839854,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839854,0.175,46,36
EBC,64839855,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839855,0.175,46,36
EBC,64839856,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839856,0.175,46,36
EBC,64839870,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839870,0.175,46,36
EBC,64839871,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839871,0.175,46,36
EBC,64839876,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839876,0.175,46,36
EBC,64839877,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839877,0.175,46,36
EBC,64839879,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839879,0.175,46,36
EBC,64839881,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839881,0.175,46,36
EBC,64839882,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839882,0.175,46,36
EBC,64839884,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839884,0.175,46,36
EBC,64839888,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839888,0.175,46,36
EBC,64839890,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839890,0.175,46,36
EBC,64839891,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839891,0.175,46,36
EBC,64839892,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839892,0.175,46,36
EBC,64839893,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839893,0.175,46,36
EBC,64839895,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839895,0.175,46,36
EBC,64839897,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839897,0.175,46,36
EBC,64839898,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839898,0.175,46,36
EBC,64839899,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.35,1197,EBC64839899,0.175,46,36
EBG,62045701,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1237,EBG62045701,0.175,46,38
ERH,Z0000327,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.35,1328,ERHZ0000327,0.175,46,47
0RJ,1102C478,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.4,135,0RJ1102C478,0.2,47,20
0RJ,2202C678,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.4,135,0RJ2202C678,0.2,47,20
0RJ,5600C478,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.4,135,0RJ5600C478,0.2,47,20
0RJ,5601C678,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.4,135,0RJ5601C678,0.2,47,20
0RJ,5602C678,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.4,135,0RJ5602C678,0.2,47,20
EAE,63071107,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE63071107,0.2,47,26
EAE,63422312,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE63422312,0.2,47,26
EAE,63461905,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE63461905,0.2,47,26
EAE,63461906,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE63461906,0.2,47,26
EAE,63461918,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE63461918,0.2,47,26
EAE,63603701,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.4,186,EAE63603701,0.2,47,26
EAE,63686601,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE63686601,0.2,47,26
EAE,64462001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.4,186,EAE64462001,0.2,47,26
EAE,64466101,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.4,186,EAE64466101,0.2,47,26
EAE,65122701,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE65122701,0.2,47,26
EAE,65196203,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.4,186,EAE65196203,0.2,47,26
EAE,65236907,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE65236907,0.2,47,26
EAE,65236909,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,186,EAE65236909,0.2,47,26
EAE,65237702,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.4,186,EAE65237702,0.2,47,26
EAF,64250001,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,283,EAF64250001,0.2,47,27
EAP,62887206,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.4,1000,EAP62887206,0.2,47,32
EAP,62887210,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.4,1000,EAP62887210,0.2,47,32
EAE,62967020,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.45,187,EAE62967020,0.225,48,26
EAE,63461935,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,187,EAE63461935,0.225,48,26
EAE,65238804,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,187,EAE65238804,0.225,48,26
EAE,66250501,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,187,EAE66250501,0.225,48,26
EAM,64811001,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,544,EAM64811001,0.225,48,30
EAM,64811002,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,544,EAM64811002,0.225,48,30
EAP,60773002,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP60773002,0.225,48,32
EAP,62327906,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP62327906,0.225,48,32
EAP,62807102,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP62807102,0.225,48,32
EAP,62807115,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP62807115,0.225,48,32
EAP,62807123,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP62807123,0.225,48,32
EAP,62887211,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP62887211,0.225,48,32
EAP,63666106,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP63666106,0.225,48,32
EAP,63707508,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP63707508,0.225,48,32
EAP,63749704,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.45,1001,EAP63749704,0.225,48,32
0CK,102BK56A,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,50,0CK102BK56A,0.25,49,10
0CK,103BKK6A,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,50,0CK103BKK6A,0.25,49,10
0CK,104BF56A,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,50,0CK104BF56A,0.25,49,10
0CK,222BK56A,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,50,0CK222BK56A,0.25,49,10
0CK,331BK56A,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,50,0CK331BK56A,0.25,49,10
0CK,332BKF6A,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,50,0CK332BKF6A,0.25,49,10
0CK,471BK56A,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,50,0CK471BK56A,0.25,49,10
0CZ,ZB00055A,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,68,0CZZB00055A,0.25,49,11
0CZ,ZB00061A,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,68,0CZZB00061A,0.25,49,11
EAE,30276501,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE30276501,0.25,49,26
EAE,30281601,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,188,EAE30281601,0.25,49,26
EAE,62681704,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE62681704,0.25,49,26
EAE,62681710,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE62681710,0.25,49,26
EAE,62681716,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE62681716,0.25,49,26
EAE,62967005,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE62967005,0.25,49,26
EAE,62967016,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE62967016,0.25,49,26
EAE,62967030,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE62967030,0.25,49,26
EAE,63422301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63422301,0.25,49,26
EAE,63422302,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63422302,0.25,49,26
EAE,63422304,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63422304,0.25,49,26
EAE,63422305,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63422305,0.25,49,26
EAE,63461908,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE63461908,0.25,49,26
EAE,63461911,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE63461911,0.25,49,26
EAE,63461915,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63461915,0.25,49,26
EAE,63461919,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63461919,0.25,49,26
EAE,63461924,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63461924,0.25,49,26
EAE,63461925,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63461925,0.25,49,26
EAE,63461929,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE63461929,0.25,49,26
EAE,63461932,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE63461932,0.25,49,26
EAE,63461933,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE63461933,0.25,49,26
EAE,64344501,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64344501,0.25,49,26
EAE,64344502,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64344502,0.25,49,26
EAE,64483401,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64483401,0.25,49,26
EAE,64721608,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64721608,0.25,49,26
EAE,64782901,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64782901,0.25,49,26
EAE,64801801,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64801801,0.25,49,26
EAE,64821901,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64821901,0.25,49,26
EAE,64821902,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE64821902,0.25,49,26
EAE,65002201,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE65002201,0.25,49,26
EAE,65123101,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65123101,0.25,49,26
EAE,65187601,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65187601,0.25,49,26
EAE,65187801,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE65187801,0.25,49,26
EAE,65188501,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65188501,0.25,49,26
EAE,65196204,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65196204,0.25,49,26
EAE,65227101,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE65227101,0.25,49,26
EAE,65236911,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65236911,0.25,49,26
EAE,65237204,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE65237204,0.25,49,26
EAE,65237701,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65237701,0.25,49,26
EAE,65238802,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,188,EAE65238802,0.25,49,26
EAE,65238803,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE65238803,0.25,49,26
EAE,65245701,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,188,EAE65245701,0.25,49,26
EAE,66248001,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,188,EAE66248001,0.25,49,26
EAH,64313901,Tape and Reel,Embossed,8,2,3000,Yes,1,0.5,0.5,458,EAH64313901,0.25,49,29
EAH,64313902,Tape and Reel,Tray,8,2,3000,Yes,1,0.5,0.5,458,EAH64313902,0.25,49,29
EAM,62954701,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,545,EAM62954701,0.25,49,30
EAM,63271002,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,545,EAM63271002,0.25,49,30
EAM,63271003,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,545,EAM63271003,0.25,49,30
EAM,63630201,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,545,EAM63630201,0.25,49,30
EAP,62526801,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,1002,EAP62526801,0.25,49,32
EAP,62526802,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP62526802,0.25,49,32
EAP,62586801,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,1002,EAP62586801,0.25,49,32
EAP,62666701,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP62666701,0.25,49,32
EAP,62786605,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP62786605,0.25,49,32
EAP,62807103,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP62807103,0.25,49,32
EAP,62807109,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP62807109,0.25,49,32
EAP,62807113,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP62807113,0.25,49,32
EAP,62807122,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,1002,EAP62807122,0.25,49,32
EAP,62807129,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,1002,EAP62807129,0.25,49,32
EAP,62807130,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,1002,EAP62807130,0.25,49,32
EAP,63666103,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,1002,EAP63666103,0.25,49,32
EAP,63666105,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,1002,EAP63666105,0.25,49,32
EAP,63686602,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,1002,EAP63686602,0.25,49,32
EAP,63686606,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP63686606,0.25,49,32
EAP,63687001,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,1002,EAP63687001,0.25,49,32
EAP,63687601,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,1002,EAP63687601,0.25,49,32
EAP,63707511,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.5,1002,EAP63707511,0.25,49,32
EAP,63707517,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.5,1002,EAP63707517,0.25,49,32
EAP,63707519,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP63707519,0.25,49,32
EAP,63707533,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP63707533,0.25,49,32
EAP,65249401,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.5,1002,EAP65249401,0.25,49,32
EAP,65256601,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1002,EAP65256601,0.25,49,32
EBG,62045702,Tape and Reel,Tray,8,2,10000,Yes,1,0.5,0.5,1238,EBG62045702,0.25,49,38
EAE,65102301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.52,189,EAE65102301,0.26,50,26
0RJ,3302C678,Tape and Reel,Paper,8,2,10000,Yes,1,0.52,0.35,136,0RJ3302C678,0.182,51,20
0RJ,3900C678,Tape and Reel,Tray,8,2,10000,Yes,1,0.52,0.35,136,0RJ3900C678,0.182,51,20
0RJ,4702C478,Tape and Reel,Paper,8,2,10000,Yes,1,0.52,0.35,136,0RJ4702C478,0.182,51,20
0RJ,0822C678,Tape and Reel,Paper,8,2,10000,Yes,1,0.53,0.35,137,0RJ0822C678,0.1855,52,20
0RJ,1203C478,Tape and Reel,Paper,8,2,10000,Yes,1,0.53,0.35,137,0RJ1203C478,0.1855,52,20
0RJ,3301C478,Tape and Reel,Paper,8,2,10000,Yes,1,0.53,0.35,137,0RJ3301C478,0.1855,52,20
EBC,62528475,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC62528475,0.1925,53,36
EBC,62528481,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC62528481,0.1925,53,36
EBC,62528484,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC62528484,0.1925,53,36
EBC,62975830,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC62975830,0.1925,53,36
EBC,62975831,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC62975831,0.1925,53,36
EBC,64038507,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC64038507,0.1925,53,36
EBC,64038525,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC64038525,0.1925,53,36
EBC,64755669,Tape and Reel,Tray,8,2,10000,Yes,1,0.55,0.35,1198,EBC64755669,0.1925,53,36
EBC,64839838,Tape and Reel,Paper,8,2,10000,Yes,1,0.55,0.35,1198,EBC64839838,0.1925,53,36
EBC,64839878,Tape and Reel,Tray,8,2,10000,Yes,1,0.55,0.35,1198,EBC64839878,0.1925,53,36
EAH,63212801,Tape and Reel,Embossed,8,2,3000,Yes,1,0.55,0.5,459,EAH63212801,0.275,54,29
EAH,65052601,Tape and Reel,Tray,8,2,3000,Yes,1,0.55,0.5,459,EAH65052601,0.275,54,29
EAE,66247601,Tape and Reel,Paper,8,2,5000,Yes,1,0.6,0.5,190,EAE66247601,0.3,55,26
EAM,64470401,Tape and Reel,Tray,8,2,3000,Yes,1,1,0.4,546,EAM64470401,0.4,56,30
EAH,65082901,Tape and Reel,Tray,8,2,3000,Yes,1,1.25,0.3,460,EAH65082901,0.375,57,29
TEA,H2206605,Tape and Reel,Tray,8,2,3000,Yes,1,1.25,0.3,1391,TEAH2206605,0.375,57,59
EAH,64835501,Tape and Reel,Embossed,8,4,3000,Yes,1,1.25,0.4,461,EAH64835501,0.5,58,29
EAH,63713001,Tape and Reel,Embossed,8,2,3000,Yes,1,1.375,0.5,462,EAH63713001,0.6875,59,29
0RJ,1003C678,Tape and Reel,Paper,8,2,10000,Yes,1.01,0.51,0.35,138,0RJ1003C678,0.180285,60,20
EAH,63172901,Tape and Reel,Embossed,8,2,3000,Yes,1.03,0.5,0.35,463,EAH63172901,0.18025,61,29
EAH,64613001,Tape and Reel,Embossed,8,2,3000,Yes,1.05,0.5,0.3,464,EAH64613001,0.1575,62,29
0RJ,5101C678,Tape and Reel,Paper,8,2,10000,Yes,1.05,0.55,0.35,139,0RJ5101C678,0.202125,63,20
0RJ,7501C678,Tape and Reel,Paper,8,2,10000,Yes,1.05,0.55,0.35,139,0RJ7501C678,0.202125,63,20
EAP,63749705,Tape and Reel,Tray,8,2,5000,Yes,1.1,0.6,0.5,1003,EAP63749705,0.33,64,32
EAN,65426201,Tape and Reel,Tray,8,4,1000,Yes,1.1,0.7,0.35,595,EAN65426201,0.2695,65,31
EAP,65265101,Tape and Reel,Paper,8,2,5000,Yes,1.14,0.63,0.71,1004,EAP65265101,0.509922,66,32
EAM,64770501,Tape and Reel,Tray,8,4,1000,Yes,1.2,0.95,0.55,547,EAM64770501,0.627,67,30
TEA,M2206661,Tape and Reel,Tray,8,4,1000,Yes,1.2,0.95,0.55,1392,TEAM2206661,0.627,67,59
EBK,63471301,Tape and Reel,Embossed,8,2,3000,Yes,1.2,0.96,0.5,1241,EBK63471301,0.576,68,40
EBK,64452501,Tape and Reel,Tray,8,2,3000,Yes,1.2,0.96,0.5,1241,EBK64452501,0.576,68,40
EBK,62891301,Tape and Reel,Embossed,8,2,3000,Yes,1.2,0.96,0.8,1242,EBK62891301,0.9216,69,40
EBK,63351301,Tape and Reel,Embossed,8,2,3000,Yes,1.2,0.96,1,1243,EBK63351301,1.152,70,40
EAH,63432601,Tape and Reel,Tray,8,2,3000,Yes,1.25,0.96,0.5,465,EAH63432601,0.6,71,29
0LC,TD00034A,Tape and Reel,Paper,8,4,5000,Yes,1.4,0.65,0.8,103,0LCTD00034A,0.728,72,18
0CK,334CF56A,Tape and Reel,Paper,8,4,5000,Yes,1.4,0.7,0.8,51,0CK334CF56A,0.784,73,10
EAE,62967032,Tape and Reel,Paper,8,4,3000,Yes,1.4,0.7,0.8,191,EAE62967032,0.784,73,26
EAE,62967018,Tape and Reel,Paper,8,4,3000,Yes,1.4,0.75,0.8,192,EAE62967018,0.84,74,26
EAM,64150401,Tape and Reel,Embossed,8,4,1000,Yes,1.4,1.1,0.55,548,EAM64150401,0.847,75,30
0CH,4331K412,Tape and Reel,Paper,8,4,5000,Yes,1.41,0.72,0.8,30,0CH4331K412,0.81216,76,9
0CH,4471K412,Tape and Reel,Paper,8,4,5000,Yes,1.41,0.73,0.8,31,0CH4471K412,0.82344,77,9
0DS,RM00238A,Tape and Reel,Embossed,8,2,3000,Yes,1.41,0.75,0.5,77,0DSRM00238A,0.52875,78,13
0CH,4121K412,Tape and Reel,Paper,8,4,5000,Yes,1.41,0.8,0.8,32,0CH4121K412,0.9024,79,9
0CC,102CK41A,Tape and Reel,Paper,8,4,5000,Yes,1.42,0.7,0.8,25,0CC102CK41A,0.7952,80,7
0CC,1R2CK41A,Tape and Reel,Paper,8,4,5000,Yes,1.42,0.7,0.8,25,0CC1R2CK41A,0.7952,80,7
EAE,65188102,Tape and Reel,Paper,8,4,5000,Yes,1.42,0.7,0.8,193,EAE65188102,0.7952,80,26
EAM,62152501,Tape and Reel,Paper,8,4,5000,Yes,1.42,0.7,0.8,549,EAM62152501,0.7952,80,30
EAM,62153301,Tape and Reel,Paper,8,4,5000,Yes,1.42,0.7,0.8,549,EAM62153301,0.7952,80,30
EAP,35863501,Tape and Reel,Paper,8,4,5000,Yes,1.42,0.7,0.8,1005,EAP35863501,0.7952,80,32
0CH,1223K562,Tape and Reel,Paper,8,4,5000,Yes,1.45,0.7,0.8,33,0CH1223K562,0.812,81,9
EAM,62152901,Tape and Reel,Paper,8,4,5000,Yes,1.45,0.7,0.8,550,EAM62152901,0.812,81,30
EBG,35297202,Tape and Reel,Paper,8,4,5000,Yes,1.45,0.7,0.8,1239,EBG35297202,0.812,81,38
EBG,63426101,Tape and Reel,Paper,8,4,5000,Yes,1.45,0.7,0.8,1239,EBG63426101,0.812,81,38
0CK,105CK56A,Tape and Reel,Paper,8,4,5000,Yes,1.45,0.8,0.8,52,0CK105CK56A,0.928,82,10
EAF,62550101,Tape and Reel,Paper,8,4,5000,Yes,1.45,0.8,0.8,284,EAF62550101,0.928,82,27
EAM,64150402,Tape and Reel,Embossed,8,4,1000,Yes,1.46,1.15,0.4,551,EAM64150402,0.6716,83,30
EAM,64730401,Tape and Reel,Tray,8,4,1000,Yes,1.46,1.15,0.55,552,EAM64730401,0.92345,84,30
EAN,66311001,Tape and Reel,Tray,8,4,1000,Yes,1.46,1.15,0.55,596,EAN66311001,0.92345,84,31
EAE,63201507,Tape and Reel,Tray,8,4,5000,Yes,1.47,0.7,0.45,194,EAE63201507,0.46305,85,26
0LC,TD00055A,Tape and Reel,Paper,8,4,5000,Yes,1.47,0.7,0.8,104,0LCTD00055A,0.8232,86,18
EAE,63201509,Tape and Reel,Paper,8,4,5000,Yes,1.47,0.75,0.5,195,EAE63201509,0.55125,87,26
EAE,65241801,Tape and Reel,Paper,8,4,5000,Yes,1.47,0.75,0.5,195,EAE65241801,0.55125,87,26
EAE,63422401,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.7,0.8,196,EAE63422401,0.84,88,26
EAE,62967013,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.78,197,EAE62967013,0.8775,89,26
0CH,1102K562,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,34,0CH1102K562,0.9,90,9
EAE,62887401,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE62887401,0.9,90,26
EAE,62887403,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE62887403,0.9,90,26
EAE,62967025,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE62967025,0.9,90,26
EAE,63143901,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE63143901,0.9,90,26
EAE,65122101,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE65122101,0.9,90,26
EAE,65238201,Tape and Reel,Paper,8,4,3000,Yes,1.5,0.75,0.8,198,EAE65238201,0.9,90,26
EAE,65238202,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE65238202,0.9,90,26
EAE,65238204,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,198,EAE65238204,0.9,90,26
EAM,60887206,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,553,EAM60887206,0.9,90,30
EAM,62631504,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,553,EAM62631504,0.9,90,30
EAM,63710605,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,553,EAM63710605,0.9,90,30
EAM,64170104,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,553,EAM64170104,0.9,90,30
EAM,64331301,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.75,0.8,553,EAM64331301,0.9,90,30
EAM,64331401,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,553,EAM64331401,0.9,90,30
EAP,62526904,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,1006,EAP62526904,0.9,90,32
EAP,62526908,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,1006,EAP62526908,0.9,90,32
EAP,63707512,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,1006,EAP63707512,0.9,90,32
EAP,65256201,Tape and Reel,Tray,8,4,5000,Yes,1.5,0.75,0.8,1006,EAP65256201,0.9,90,32
0RH,0182C622,Tape and Reel,Paper,8,4,5000,Yes,1.5,0.8,0.45,109,0RH0182C622,0.54,91,19
